iter	Passed	Remaining
0	1	100
1	1	96
2	2	87
3	3	82
4	4	82
5	5	82
6	6	81
7	7	80
8	7	79
9	8	78
10	9	77
11	10	75
12	11	74
13	12	73
14	12	72
15	13	71
16	14	71
17	15	70
18	16	71
19	17	70
20	18	69
21	19	69
22	20	68
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	39	45
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	39
53	45	39
54	46	37
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	70	12
85	71	11
86	72	10
87	73	9
88	74	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
